country,id,lat,lng,name,Temperature,Humidity,Cloudiness,Wind Speed
ES,3130557,41.262669,1.1701,Alcover,48.2,66,80,8.05
US,4235274,37.684219,-88.632828,Carrier Mills,33.8,74,90,8.05
ID,1639362,-6.13139,106.379723,Kresek,82.4,83,75,3.36
US,4416602,34.83287,-89.175903,Ashland,31.41,86,20,7.58
RU,521801,57.655277,43.58139,Nikolo-Makarovo,4.82,86,0,6.35
ES,2515083,36.836128,-3.67426,Lentegi,50,93,68,1.72
DE,2814880,48.7327,13.60082,Waldkirchen,32.41,95,88,9.44
RU,488635,46.6311,38.674198,Staroshcherbinovskaya,36.91,96,88,10.6
RU,6608095,56.585556,43.688889,Kozhukhova,-0.41,84,32,2.24
DE,2946022,50.73333,9.96667,Borsch,39.2,80,75,11.41
ES,2511063,38.248291,-3.20762,Santisteban del Puerto,49.91,98,92,15.86
DE,2854837,49.003422,11.66388,Perletzhofen,37,93,40,3.36
DE,6552207,53.877102,9.48079,Krempermoor,33.08,100,75,6.93
SA,101312,31.67252,38.663738,Turayf,46.4,49,0,4.7
US,5354157,35.383289,-119.109833,Greenacres,51.1,44,1,2.77
CN,2054020,40.757118,125.427856,Zhenjiang,29.48,63,0,10.67
ES,6361132,41.856491,-3.26815,Espejón,39.2,97,40,14.99
FR,3027900,46.86203,3.64652,Cercy-la-Tour,35.6,80,0,1.12
FR,3028793,47.997879,-3.318,Canquisquélen,45.43,87,88,18.34
RU,566738,55.39996,40.301971,Demidovo,17.42,87,80,13.62
ZA,1105777,-25.85891,28.18577,Centurion,64.38,77,24,1.12
CN,6969751,27.61171,118.97142,Pingdu,50.63,69,80,3.74
IT,6535693,45.69088,9.39925,Cernusco Lombardone,32.7,80,0,5.82
AU,2154812,-27.783331,153.316666,Norwell,76.57,88,75,9.17
CR,3624908,9.9959,-84.051262,Angeles,68,64,0,11.41
CA,5945707,44.133411,-79.416313,East Gwillimbury,33.08,90,90,9.17
ID,7571981,-8.405,120.523308,Weleng,79.16,85,48,5.23
DE,2848280,53.75,12.7,Remplin,32,96,75,4.7
AU,7839366,-35.758369,147.197311,Greater Hume Shire,84.2,28,0,5.82
DE,2853065,48.400002,13.31667,Pocking,37.4,93,75,1.12
AT,7872278,46.823299,15.13565,Trahütten,34.61,93,75,2.24
DE,2810618,54.166672,8.93333,Wesselburener Deichhausen,32.59,100,90,1.12
DE,2940377,51.049999,11.7,Camburg,37.4,86,75,13.87
PH,1728735,11.71806,122.378059,"Brgy. Bachaw Norte, Kalibo",81.5,100,20,10.6
HR,3197369,46.160831,15.87889,Krapina,36.81,93,92,4.7
